month,temp_air,wind_speed,ghi,dni,dhi,total_clouds,high_clouds,mid_clouds,low_clouds
1,25.994875672043037,1.9731523689444357,250.42617742973795,154.14082467304738,127.73704868109108,64.49882392473118,60.298219086021504,10.017137096774194,6.793514784946237
2,26.15342261904765,3.336335763415182,188.37901632959503,81.9207378342976,122.63423675821011,86.60863095238095,83.74255952380952,15.318080357142858,14.136904761904763
3,26.024697580645142,2.727823725863295,198.1538346845537,114.38571683063017,112.59849738171313,77.20766129032258,73.23487903225806,10.158266129032258,9.85013440860215
4,25.65187500000005,2.4335313134125958,206.70853990900113,159.79157333533567,97.50799107238494,55.50277777777778,46.953125,5.598958333333333,13.285763888888889
5,24.93981854838711,3.5947382607680347,168.512290279087,143.32068563258215,81.22100324961302,61.346774193548384,51.336693548387096,8.504032258064516,21.69489247311828
6,23.6202777777778,3.1636172551773147,153.2208562022894,135.43288821052798,73.66318271335847,70.15520833333333,58.225347222222226,5.014583333333333,23.844444444444445
7,22.489672335349475,2.899988446917605,177.95027336639615,182.54916721255532,72.25803400707349,61.22513440860215,45.855510752688176,5.89616935483871,29.644153225806452
8,22.905145141129065,2.5451585233063407,193.8713408173776,174.92193145352084,83.2728399902974,50.53393817204301,28.281922043010752,3.1461693548387095,30.174059139784948
9,23.851436118055567,2.1839111728414977,225.60417240842608,165.10822574964746,106.95842467029524,65.11354166666666,48.515625,3.759375,28.569791666666667
10,24.799447930107533,2.510422526543569,251.32586134944538,171.6856948552038,119.9409714129888,57.62096774193548,46.84307795698925,5.663306451612903,20.326276881720432
11,25.208522241539146,2.4095557108994865,224.49443388004906,122.2418578177898,131.581124192585,75.80296708391285,66.77132591562355,19.81710709318498,20.775150672229948
12,25.220243613351272,2.2991909920390103,223.87846071199115,116.95633837188396,132.61603083449214,75.17932347670252,65.27004928315412,20.376008064516128,28.552643369175623
